,Image Label,Class
0,201_2023_2.tif,no_crop
1,453_2022_8.tif,growing
2,531_2022_6.tif,no_crop
3,403_2022_10.tif,lush
4,361_2022_7.tif,no_crop
5,248_2022_11.tif,no_crop
6,329_2023_3.tif,no_crop
7,540_2022_7.tif,growing
8,65_2023_2.tif,no_crop
9,530_2022_9.tif,growing
10,352_2022_7.tif,lush
11,292_2022_7.tif,no_crop
12,55_2022_5.tif,no_crop
13,477_2022_11.tif,no_crop
14,51_2022_6.tif,no_crop
15,180_2022_7.tif,no_crop
16,8_2023_3.tif,no_crop
17,523_2022_5.tif,no_crop
18,220_2022_5.tif,no_crop
19,290_2022_6.tif,no_crop
20,15_2022_6.tif,no_crop
21,223_2022_4.tif,no_crop
22,28_2023_2.tif,no_crop
23,550_2023_2.tif,no_crop
24,151_2022_8.tif,lush
25,563_2023_2.tif,no_crop
26,517_2022_8.tif,lush
27,284_2023_0.tif,no_crop
28,506_2023_3.tif,no_crop
29,40_2022_5.tif,no_crop
30,308_2023_1.tif,no_crop
31,133_2022_6.tif,no_crop
32,301_2023_3.tif,no_crop
33,524_2022_9.tif,lush
34,200_2022_4.tif,no_crop
35,290_2023_0.tif,no_crop
36,162_2023_0.tif,no_crop
37,379_2022_8.tif,lush
38,216_2023_0.tif,no_crop
39,454_2022_8.tif,lush
40,105_2022_11.tif,no_crop
41,531_2022_10.tif,no_crop
42,324_2023_1.tif,no_crop
43,53_2022_10.tif,no_crop
44,342_2022_9.tif,no_crop
45,333_2022_5.tif,no_crop
46,386_2022_6.tif,lush
47,260_2022_4.tif,no_crop
48,73_2022_4.tif,no_crop
49,319_2022_8.tif,lush
50,553_2022_7.tif,no_crop
51,225_2022_7.tif,no_crop
52,164_2023_0.tif,no_crop
53,329_2023_1.tif,no_crop
54,48_2022_8.tif,growing
55,367_2023_2.tif,no_crop
56,155_2023_0.tif,growing
57,341_2022_8.tif,lush
58,250_2022_10.tif,no_crop
59,110_2022_9.tif,no_crop
60,211_2023_3.tif,no_crop
61,321_2022_9.tif,lush
62,117_2022_9.tif,growing
63,182_2023_2.tif,no_crop
64,87_2022_4.tif,no_crop
65,250_2023_2.tif,no_crop
66,101_2022_10.tif,no_crop
67,552_2023_2.tif,no_crop
68,518_2023_1.tif,no_crop
69,508_2022_5.tif,no_crop
70,408_2022_6.tif,no_crop
71,327_2023_3.tif,no_crop
72,554_2022_5.tif,no_crop
73,499_2022_11.tif,no_crop
74,473_2022_8.tif,lush
75,140_2022_7.tif,growing
76,230_2022_7.tif,no_crop
77,156_2023_1.tif,no_crop
78,441_2022_4.tif,no_crop
79,484_2022_10.tif,no_crop
80,165_2023_1.tif,no_crop
81,165_2023_3.tif,no_crop
82,491_2022_7.tif,no_crop
83,257_2023_3.tif,no_crop
84,406_2022_9.tif,lush
85,300_2023_1.tif,no_crop
86,446_2022_6.tif,no_crop
87,44_2023_1.tif,no_crop
88,253_2022_7.tif,growing
89,273_2022_11.tif,no_crop
90,448_2023_2.tif,no_crop
91,447_2022_6.tif,lush
92,538_2022_8.tif,growing
93,253_2022_11.tif,no_crop
94,377_2022_8.tif,lush
95,441_2022_5.tif,no_crop
96,394_2023_1.tif,no_crop
97,314_2023_3.tif,no_crop
98,553_2023_2.tif,no_crop
99,343_2022_8.tif,growing
100,160_2023_2.tif,no_crop
101,563_2022_6.tif,no_crop
102,84_2022_8.tif,no_crop
103,510_2022_10.tif,lush
104,419_2022_4.tif,no_crop
105,29_2023_2.tif,no_crop
106,100_2022_11.tif,no_crop
107,175_2022_7.tif,no_crop
108,38_2022_9.tif,no_crop
109,533_2022_11.tif,no_crop
110,280_2022_11.tif,no_crop
111,15_2022_11.tif,no_crop
112,64_2023_1.tif,no_crop
113,464_2022_8.tif,lush
114,188_2022_11.tif,no_crop
115,327_2022_4.tif,no_crop
116,507_2023_2.tif,no_crop
117,307_2022_4.tif,no_crop
118,160_2022_6.tif,no_crop
119,157_2023_2.tif,no_crop
120,109_2022_9.tif,no_crop
121,179_2022_10.tif,no_crop
122,240_2023_2.tif,no_crop
123,262_2022_8.tif,growing
124,457_2023_0.tif,no_crop
125,383_2022_10.tif,lush
126,397_2022_8.tif,lush
127,182_2023_1.tif,growing
128,441_2023_1.tif,no_crop
129,294_2022_7.tif,no_crop
130,133_2023_3.tif,no_crop
131,318_2022_10.tif,growing
132,404_2023_0.tif,no_crop
133,139_2023_2.tif,no_crop
134,154_2022_4.tif,no_crop
135,448_2022_6.tif,no_crop
136,539_2022_9.tif,growing
137,190_2023_0.tif,no_crop
138,169_2023_0.tif,no_crop
139,43_2022_6.tif,no_crop
140,153_2023_2.tif,no_crop
141,517_2023_3.tif,no_crop
142,159_2022_9.tif,no_crop
143,252_2023_0.tif,no_crop
144,392_2023_2.tif,no_crop
145,293_2022_6.tif,no_crop
146,258_2022_8.tif,lush
147,181_2022_9.tif,no_crop
148,452_2023_1.tif,no_crop
149,53_2022_8.tif,lush
150,213_2023_2.tif,no_crop
151,412_2022_8.tif,lush
152,405_2022_9.tif,lush
153,40_2022_9.tif,growing
